# Final MCMC Chain Data for Kinematic Snap Model (KSM) - Post-Burn-In Samples
Holographic_Parameter_c	Transition_Width_w
0.58131414	14907.51932433
0.57110990	13089.23629467
0.57795070	15413.45605081
0.58543718	14713.13193390
0.57464752	14854.54034940
0.57542108	16248.75851996
0.58338833	13504.89702096
0.56440020	13755.54879984
0.57556362	12975.67534670
0.57298498	15641.34615456
0.58685435	14801.89886741
0.57963879	14774.88911736
0.59106190	13091.99822223
0.59122683	15015.03895427
0.59642056	15262.01797854
0.57819628	14669.31753843
0.58204644	13888.77128359
0.57555314	17848.09241721
0.57616274	15137.98974402
0.57393722	14869.93252403
0.57079912	13887.85904627
0.56751607	13405.02103676
0.57272005	14029.19498583
0.57666271	15341.92470722
0.58251130	14110.55520654
0.60357704	13897.20572370
0.58511596	12892.29620083
0.59241099	14569.23295975
0.57013228	15424.96673443
0.58999440	14710.10473217
0.58279227	13959.35953411
0.57630735	15565.42561905
0.58907748	14123.07565386
0.57587328	13929.88171041
0.56910479	13677.59350797
0.58592173	14264.31702028
0.58726857	14338.62897510
0.57646337	11407.68506136
0.58365242	14853.26755930
0.58681867	15644.55314276
0.55943702	14328.24260007
0.59685276	15861.18496756
0.57877879	14313.70032091
0.58015924	15028.18429428
0.58154217	12565.82334915
0.58042391	15264.22264732
0.57630726	16402.25076881
0.58975257	13798.09298568
0.57619949	15550.79838281
0.59186621	13936.02088756
0.55816794	14772.00857776
0.58951494	13727.05550604
0.60662106	14465.23792770
0.56725597	14162.82198596
0.56566453	15647.43299090
0.59450005	12812.68699244
0.57639768	14785.19422361
0.58208254	15574.01584222
0.58932635	14205.86591817
0.57430959	14447.13916651
0.58278168	15434.33510366
0.57148692	14990.48153356
0.57286955	13116.97018096
0.56879434	14473.50481390
0.57501388	14720.45225158
0.58895887	13355.48872116
0.58215346	14236.83741666
0.58745096	13010.67658227
0.57382554	15155.47996321
0.56482380	13567.29957978
0.57572111	12662.06374522
0.59957392	15122.24858428
0.57426592	13649.69746590
0.58467420	12958.99225207
0.56649893	15626.00213342
0.57513002	14755.97353647
0.58024379	13342.61898083
0.58041885	15237.60440962
0.56357341	15421.40408060
0.56321116	12996.80938326
0.59231959	14727.18626018
0.56565165	12904.70514252
0.57822367	14297.11502558
0.58495627	14070.01853961
0.58689093	15788.79327269
0.57058234	16072.12846918
0.58605362	13913.50814427
0.56574298	15416.00556170
0.58856595	15536.46766965
0.59901533	13776.23694956
0.59698884	16611.57913083
0.57254025	15018.37345616
0.57704133	15766.60936715
0.57655001	14300.68547988
0.58247456	14841.05272956
0.58172271	15251.74841213
0.57962814	14752.57205768
0.57578213	15494.74283320
0.58964291	13785.10484382
0.59398007	13690.34791388
0.58813959	14205.38231637
0.56938252	15553.16320205
0.58391781	14612.13024017
0.58078068	13051.57500724
0.59404566	13183.92114685
0.58536333	15491.99436241
0.57330261	16363.55944884
0.57263848	14906.45560966
0.57634884	14938.62556424
0.57923329	15565.38878052
0.58357268	14804.48092173
0.60166251	14436.76067581
0.57553280	13586.24000195
0.57465166	16121.74166588
0.57616198	12515.63404463
0.57731517	12913.17311287
0.59841848	15799.65584066
0.58077304	14845.86842868
0.59848831	11651.26731563
0.57950245	14921.26914930
0.56971946	16777.65154096
0.56936741	14742.96854011
0.58475243	13488.43047893
0.58729262	14129.19632723
0.57321060	13418.93033173
0.58369778	13997.71688932
0.57632737	15767.02003614
0.59213998	15702.59690638
0.58053555	14490.10412920
0.57889437	12587.92746561
0.57487845	12427.19133651
0.57676934	14323.70923470
0.57102663	13943.99791195
0.58667538	14141.69129240
0.56288170	14863.24116202
0.58471557	13581.42821874
0.58717969	15552.29025973
0.59020214	13097.89853954
0.58807379	14695.16520983
0.59081227	13475.67412688
0.59090076	13164.01327176
0.58948811	13058.69966056
0.58090718	16895.34292524
0.59660900	14114.82673864
0.59305298	13797.53839575
0.57815541	13197.62891587
0.57654731	16287.89858720
0.57976855	14439.27758516
0.57377755	16295.83997395
0.57806515	15637.18829748
0.58414987	14540.25480902
0.58055868	13645.05209585
0.57922475	14776.02836934
0.58221673	14377.52543791
0.58190921	13138.20373418
0.58494261	13727.22862443
0.59219948	15745.80791900
0.58381286	13503.92724679
0.57541417	15246.20579614
0.57007346	13108.07484556
0.60363951	15415.74162575
0.57522428	15665.11590283
0.58001254	13602.76156434
0.58219304	14433.60848746
0.58893175	14329.66756604
0.58726740	14154.78662129
0.58644979	14234.28054954
0.58178466	13034.14431919
0.58436028	12782.62752473
0.57744210	12577.32221445
0.57771764	14110.38914471
0.59254448	15409.76652782
0.57544652	15604.61507790
0.57289534	13354.42018709
0.59889550	14919.63455713
0.57501319	13982.48917782
0.58478162	14895.23242263
0.57411902	13379.45294707
0.57216404	14975.47660276
0.58217535	14704.36738511
0.57358303	14818.08193507
0.59087535	13580.06499901
0.56921207	14186.75035409
0.58472455	15502.20215374
0.56235174	14384.53272632
0.57894878	15006.97710071
0.57444053	14726.76906425
0.58734574	15720.26405405
0.58239057	13326.96405974
0.57430378	15012.79995520
0.59770511	14639.98806245
0.57712794	16581.18714058
0.58276595	14377.68367160
0.56716240	14693.04231631
0.57939687	14144.56902610
0.58641562	13092.27112168
0.58915821	14961.35331903
0.58224081	14392.71688502
0.57543212	14493.57357237
0.58366789	14899.70271220
0.58174470	14375.15783102
0.58241660	12529.02549823
0.59838004	13530.80156135
0.57458472	13340.56896676
0.56800230	14548.13251528
0.58209613	16429.76306263
0.58573832	14955.75028566
0.56918453	15476.91395799
0.58027986	13554.78014630
0.58149551	13213.37396553
0.57634128	14431.62547638
0.56460298	14688.13849158
0.57006133	14287.05231143
0.57490383	14992.47077767
0.58229230	15480.93702935
0.58113749	14415.88875286
0.57476788	13860.42778659
0.60551148	10731.02045764
0.57571543	15252.59383507
0.59098744	14329.12720283
0.58600353	14583.80685167
0.58063742	15912.28093307
0.58963202	14708.43538645
0.58512796	13685.29008703
0.59211445	16545.30629111
0.58966723	15153.87984086
0.57419157	14305.43088481
0.59052640	14221.55391679
0.58573719	13201.16066039
0.57890930	15295.86045311
0.59804171	12833.86593554
0.58193820	13356.32295883
0.57667030	14339.65114139
0.59303202	14174.58061478
0.57922666	13767.42167914
0.56965730	13507.41819404
0.58664679	13210.98885030
0.60304995	15125.17408956
0.58765186	14343.32990222
0.56970117	13460.15746908
0.59507551	15394.04218258
0.57778939	14962.78459958
0.58694464	16388.85758856
0.59091600	14461.27297039
0.59636473	14805.67878729
0.57646364	14626.64634165
0.58599543	14913.45422770
0.58601913	13797.88946390
0.58567588	14501.43613222
0.57755267	14886.97164503
0.58510084	15015.01429539
0.59456021	15937.09458056
0.56802180	15055.68760575
0.57490969	13395.45280466
0.58450398	15087.40576696
0.57463253	13549.13773353
0.58539366	13255.20080705
0.57252853	13417.44091222
0.58310897	15459.92150495
0.57680328	14312.43244737
0.58474846	15601.55404156
0.57015296	14757.61797611
0.56442726	13863.70609039
0.58507563	13703.95966625
0.56595908	14962.43839277
0.58346667	13978.40402420
0.57587477	13544.34821092
0.58454350	15696.22289689
0.57729714	14212.62879716
0.58139349	14857.73327773
0.57372856	15232.56887183
0.57423964	15100.08693329
0.58255281	13830.82510953
0.57654361	13849.10172459
0.57284837	14503.65299537
0.56578527	15833.60411887
0.57355398	12743.61223841
0.59494741	14572.59918143
0.58308118	16094.11002325
0.56718201	13185.17475478
0.60543610	17433.71021284
0.58734708	15215.90983535
0.57269577	14131.05497101
0.57106310	13612.05651530
0.58138043	14782.87482870
0.58637314	14052.93171585
0.58522502	14688.23864065
0.58172497	15207.19481630
0.59092284	13782.02935644
0.58394008	14042.48597292
0.57908497	16420.91325686
0.57688339	12993.90060687
0.57113447	14224.68342379
0.60063402	15268.35702516
0.58280668	14181.74733428
0.59274317	15321.43683112
0.57192506	14879.84828600
0.59336746	13297.94547975
0.57429003	14158.35106597
0.58645585	15670.04452602
0.58760163	15334.55635232
0.58017341	13369.44514712
0.56931525	15287.34694853
0.60601731	14444.57908838
0.57963637	15013.27785055
0.58416599	12590.49853759
0.58566758	15211.97064922
0.56457680	14973.14869487
0.58829117	15565.21051347
0.57946944	13355.08269803
0.58565348	14429.41306470
0.58064566	13698.88215402
0.58813451	15148.63080037
0.57944375	13219.32721551
0.58658728	14289.58588516
0.59216370	14758.10199838
0.57525827	16297.36079882
0.57826222	13103.12146685
0.58667345	14586.15974418
0.58468319	14682.68511764
0.58335828	15618.72953933
0.58551545	13510.16659269
0.57507975	13312.55741347
0.57258364	14277.38768347
0.57904541	14055.92824301
0.58093703	15755.16074598
0.56748993	14444.38178793
0.59725062	14065.29002803
0.57554391	14059.58268414
0.57285200	15253.96997582
0.58182840	14637.55294651
0.58332729	15031.04936391
0.57042415	15584.15452631
0.57911596	15247.46911602
0.56444793	15454.70598292
0.58407857	16111.68510356
0.58621496	13965.91105255
0.57464285	13831.49456124
0.57340456	15072.21173803
0.58403428	14145.63134989
0.56202499	14182.04256121
0.59763861	13607.72289231
0.58929869	13955.35395842
0.59306239	13621.99859419
0.57262508	14773.34475879
0.58121643	14095.79225648
0.57555727	15790.04370713
0.58274254	16689.03522248
0.57066908	14810.92826587
0.56853191	12109.39622789
0.58792183	14473.75621940
0.58278858	14536.06750192
0.59441878	14139.08421153
0.58281245	15885.93567952
0.58743527	13357.83156234
0.58484047	13395.92065424
0.57519572	14825.30163428
0.57868281	14796.59845899
0.59101347	16741.32291721
0.57708946	14203.64557738
0.57758575	14852.64843562
0.57719621	14258.03450344
0.58065777	14394.12068077
0.59255850	15156.61403329
0.57361072	12281.47230423
0.59731464	13693.20430238
0.57952406	15577.28349871
0.58915814	13937.55855528
0.58390687	15184.90744826
0.57426423	15716.63765366
0.57541889	14211.62688664
0.57684934	12914.72012161
0.59406308	16053.35267327
0.56544002	14060.93460937
0.58542627	14598.37122357
0.57814576	15856.10084809
0.57408169	13668.52577807
0.58509528	14361.70669891
0.58619403	13611.98031456
0.56527499	15684.61127861
0.58520167	14493.34308875
0.57703601	14201.27004773
0.56661252	16563.11736321
0.57921428	12040.80116434
0.56916723	13382.52979391
0.57465142	14993.24359462
0.60046331	13008.36717955
0.57981862	16213.35222806
0.57662764	14745.88713664
0.56267997	14406.82861948
0.58459971	15020.73995162
0.58192576	14387.99469397
0.57778239	13474.73865090
0.57755169	14609.29426247
0.58322078	13904.96931950
0.56063276	15442.84314442
0.58863710	15791.64532715
0.57766455	15859.00003952
0.56374045	14823.61254369
0.57823507	15827.36945202
0.57864751	15442.83184575
0.58636929	13603.54321773
0.58195862	14111.24604026
0.58614471	16334.20264232
0.59230448	13682.33453470
0.58271783	14436.54909637
0.58807259	15772.02658253
0.59404895	16265.04881404
0.58126140	14150.30779378
0.56671924	13791.86280782
0.57702243	13868.72291127
0.56969506	14447.60866928
0.57745069	13602.41053584
0.59127033	15064.98199501
0.58453260	12723.79086161
0.59014694	14458.79846588
0.57619244	15217.36377501
0.57719317	13758.61163028
0.59063466	12787.54363311
0.57785999	14180.97995143
0.58235004	13284.97353566
0.56389671	16336.09831951
0.58097344	15571.49982462
0.56660261	14871.10077396
0.57132706	12456.10330576
0.57194389	11213.70355157
0.58531717	14872.23541121
0.59013864	14361.73305960
0.59896656	15434.55677868
0.58523399	15148.80750130
0.58973202	14350.03850104
0.59474041	14137.23282190
0.59578813	15209.47987774
0.57784534	13812.19349432
0.58672695	15707.32432046
0.57557451	11564.55123832
0.57298051	12862.16919906
0.58527803	13666.70487472
0.57719801	13106.19444768
0.58200070	15396.05536030
0.58318113	14856.60662139
0.58498642	12896.90073979
0.57188266	15089.73519664
0.58497645	14900.49310042
0.58798189	13585.22724501
0.59425909	14080.97256752
0.57784906	12783.09954450
0.57554005	14904.98692603
0.58897108	14893.44775706
0.59136669	14381.71292171
0.57955971	14906.64598189
0.59764299	14678.32430121
0.58623787	13186.57758450
0.59079602	13012.01472300
0.57644703	16881.12068796
0.58002565	15433.40113695
0.57363722	13743.82964167
0.57153867	13032.82710775
0.58519613	13355.54501533
0.58931132	13603.94599646
0.57693060	15556.01895420
0.57799718	14256.82362439
0.58314271	14103.37931258
0.58605745	14357.27684432
0.58729836	15184.92672652
0.57763186	16328.98028491
0.59523724	15632.08838997
0.57472303	13230.90731208
0.58385513	16508.00278312
0.58804016	15437.21927689
0.56982434	14604.12104067
0.57444956	15226.51109373
0.56267707	14331.32203888
0.58180958	14615.46653196
0.57128824	15263.47369226
0.58667934	13765.54670988
0.57895470	13734.11368028
0.57953158	15469.41002618
0.58624204	15686.84257958
0.57584573	13931.10715600
0.59214561	13834.84320464
0.57627568	13881.47778311
0.57284675	13741.65971455
0.57562044	15772.23395491
0.57003394	15441.77904690
0.58333338	13991.01654174
0.58710203	14603.63873398
0.58460964	15081.88431734
0.58431875	15653.08153376
0.59220172	14882.71419622
0.59072666	15178.14977893
0.58818946	15261.42029638
0.56567557	13859.95743111
0.58724498	14732.84047203
0.58417671	14236.89380203
0.56060020	13777.93216742
0.58645561	14117.92106082
0.57032954	13165.01229472
0.57487084	13358.18317458
0.57832400	15484.43605287
0.58699657	15227.30735072
0.57235064	14499.01444527
0.58177345	11982.29419343
0.58753766	13845.74313370
0.57483527	14293.17089221
0.59045603	15982.21419860
0.56895812	15533.35814566
0.56506872	13816.63150494
0.58687885	14738.89510556
0.58373034	15526.38902672
0.59346829	14753.70723447
0.58310961	13138.86193764
0.59663967	13525.26508933
0.56274195	14677.71746188
0.57217849	15533.40855346
0.56053860	14876.00871882
0.58022068	15521.79645419
0.57365289	15876.65782219
0.58373371	13325.21773612
0.58158208	13775.74807004
0.56857901	15380.86060261
0.57791896	13022.88677479
0.57259731	14394.73796965
0.59355303	13949.01949989
0.58000600	14491.43895824
0.56132684	14489.60295674
0.57515947	11980.65383178
0.57452622	16924.02861126
0.58702822	13790.98014246
0.58450166	16849.21447726
0.57261376	14286.11781240
0.56657426	14110.44182474
0.56678669	15967.00678183
0.58705468	14819.21221301
0.59717238	14549.90927796
0.57923660	15699.92749482
0.58886055	14120.64295369
0.58390525	12753.51224043
0.58130971	13953.74243428
0.59890985	15166.45275706
0.59646431	14353.92680929
0.58986927	15394.50096039
0.58433756	14797.78858261
0.58068265	13876.76797956
0.58036097	15229.68586444
0.57574730	14314.53169823
0.57680600	16253.23324294
0.58082136	15524.23129577
0.57691387	15360.68640794
0.57960022	15366.11531278
0.60062349	15078.27065010
0.57341468	15600.09220545
0.57935854	13253.33714941
0.59107867	14816.18973793
0.58384587	15025.43721291
0.55840033	15276.30750995
0.58351327	13776.45541104
0.57890273	13223.16084875
0.56196900	14885.90207664
0.58209358	14299.65335208
0.57778387	13483.80804608
0.58520239	13889.55346900
0.58611878	15029.22898882
0.57645945	16160.57524458
0.59219393	13127.56157173
0.58992778	13725.96870637
0.57836903	14817.21947512
0.60168525	13538.50250608
0.60220184	13582.45502560
0.57548075	13477.66447920
0.56966205	13978.32848897
0.57217803	13374.21933000
0.57501778	14422.21018299
0.58587221	15376.76346224
0.58225207	13676.48895882
0.58416117	15671.18882226
0.58209896	13388.09845146
0.57222929	15823.80556173
0.59417855	15875.44481146
0.56831985	15374.66734559
0.57417428	16030.07262456
0.57774573	16022.03326350
0.58117128	15598.97568938
0.59406931	15227.62772956
0.57686642	15533.92861989
0.59256033	16068.37816960
0.59148743	16512.09208005
0.58234951	13027.35500897
0.58091959	14366.28644932
0.59657334	13278.25685677
0.58515890	12458.52420841
0.58816573	14749.48399181
0.57599539	14224.96633500
0.58057795	12920.37428530
0.57016921	14530.70432145
0.58001004	14119.50832966
0.58541989	15391.82059866
0.59156970	13753.19452076
0.58118218	15178.37398363
0.58008366	13920.24871799
0.57872760	14981.80504624
0.56940783	15369.00604267
0.57309820	14149.60683932
0.58180817	14250.87604237
0.58290906	15467.77170840
0.56438403	14233.03049497
0.57348569	13014.06375689
0.57374889	14869.97659091
0.56660087	13420.48677149
0.58348693	14492.33442882
0.59297801	13691.20245065
0.58802986	14951.24089574
0.57531374	14238.71837772
0.57155992	14223.98375667
0.57323619	15609.33839548
0.59371619	15772.71787799
0.58355979	13234.81003301
0.58230267	13409.00350873
0.59468997	14739.28361745
0.58299626	12464.61423301
0.58923777	15258.70999346
0.58769158	13657.61013545
0.57707929	14560.02060809
0.58073932	15268.19909225
0.58807740	15711.00771716
0.56440766	14408.70900645
0.58505203	13362.93854723
0.58692096	14023.45275895
0.57127294	14957.24449335
0.57897260	13487.13056365
0.59676128	13703.55521587
0.58872306	14475.47725772
0.59063048	13631.34165661
0.57046633	14253.62909841
0.57316041	14667.67430611
0.57124403	13386.73078372
0.59325506	14669.31635753
0.58123977	15255.64095042
0.59781907	14236.80097756
0.58605656	16306.42779411
0.59012899	16607.29838829
0.57325223	13703.22533648
0.58349235	15348.70352630
0.57001325	13410.84272341
0.57608859	14294.80999438
0.58123493	13234.82275651
0.56593355	13566.40758560
0.58017413	15544.72443771
0.59462940	12622.27862406
0.58801321	13544.52260487
0.59028443	13968.49466305
0.57852564	15556.61817435
0.58777870	16331.57760482
0.57994027	13952.07768653
0.57834554	13811.96591274
0.58709962	13943.72799145
0.55994872	12640.76948023
0.57843035	14685.22253866
0.58906589	15457.01074152
0.57653254	16706.38465932
0.58188768	15068.99217262
0.57331555	15880.75372106
0.58843345	12395.64988371
0.59905748	15915.72180850
0.58089670	13831.46488019
0.57632705	14124.19615440
0.57797341	15357.68415904
0.58247241	13776.87371585
0.58844326	14088.22644278
0.59276028	13919.85438632
0.57211024	13769.03754871
0.58923947	15468.14669713
0.59391794	15011.50557171
0.58291769	15219.51874435
0.57887496	15328.98559501
0.59057020	14465.99192142
0.57638222	15192.58604984
0.57803580	12409.69222881
0.58038970	14921.66733894
0.57403557	12653.84689637
0.58459224	14035.88769627
0.57056650	15014.49860812
0.59795493	14747.17916830
0.58363814	14402.74500803
0.58367491	14605.87281561
0.58901194	15133.34950785
0.57747481	15605.36702030
0.57142239	14754.73925237
0.57372825	13289.69022084
0.58928836	14349.92233844
0.57264997	13515.39431423
0.59333349	14504.78381687
0.57904188	15034.21580336
0.57594226	15498.34651507
0.57312717	13567.67132716
0.57841031	16200.13996194
0.58145016	15589.39997159
0.56431697	13409.72495591
0.58493881	14701.36633053
0.56376687	12609.00416779
0.56662693	15808.81482327
0.57771943	14859.28259652
0.57826325	14467.58868087
0.57726849	13329.41881139
0.58535854	13383.95693871
0.59152739	14910.68448622
0.58615514	13443.55367078
0.58299661	15557.62353842
0.58836658	12903.69994478
0.57200985	13197.10971553
0.60006174	14808.19029293
0.57810754	14461.24776165
0.58323561	15140.30287826
0.58043008	14392.27088567
0.57510519	15100.97730249
0.57870365	14653.05005643
0.58588059	14248.68570369
0.57377291	13852.76613928
0.57537209	14540.99059784
0.58266863	16302.05387594
0.60218540	15530.01884382
0.58071896	13360.20730117
0.58528684	14292.15514459
0.58211193	14866.41222753
0.58191034	14157.44553415
0.58906932	13660.41162034
0.56716671	16286.82953459
0.58520444	13825.14602784
0.58473320	14895.54622984
0.58247397	14542.77887501
0.58246109	15926.03486293
0.59037786	15220.41349129
0.58405920	14171.46667621
0.58601609	14284.93476980
0.59615344	14989.39503460
0.57193123	14701.35152037
0.58448130	15147.12307566
0.60380374	16017.70491689
0.56544480	13838.15859753
0.57458002	13779.74070431
0.59226281	14749.37600359
0.57611782	14736.00874814
0.57614815	15207.50176981
0.57485818	16523.86928232
0.58660456	15837.83796093
0.57998841	13837.08904424
0.58465555	13601.81743670
0.57541177	13610.00861045
0.59739830	12807.42644015
0.57332255	13754.10525977
0.58487576	13805.27559823
0.58611095	13581.03991302
0.56257429	14454.93763557
0.59460635	12717.11731763
0.58240673	16680.66290516
0.57712228	15892.50354950
0.58686097	12299.26003195
0.58209602	16043.67090797
0.59285940	14851.71030982
0.59085173	15756.41864950
0.57110260	14727.39304791
0.57958997	15202.88752197
0.58388285	12948.18151785
0.58641761	15076.25034834
0.59838766	15674.43105011
0.57753465	14159.61366040
0.58705644	14690.77661466
0.58411797	15078.74072227
0.56712566	12064.01568871
0.56362433	13605.99317476
0.58581556	15744.11586598
0.56976143	15809.51817543
0.58531811	14305.69259994
0.57806730	12999.13441890
0.57692363	13661.03586039
0.58762237	12794.36585208
0.59316555	13494.92605981
0.59507060	12242.75080506
0.59696531	13109.90109556
0.57958340	14666.13578402
0.57533442	13976.83072356
0.58455514	14489.10287259
0.58716190	15937.84697117
0.58816707	15309.55644068
0.59559285	14036.52691467
0.57728741	14991.49503473
0.58401076	16171.46621053
0.57262575	15698.59316387
0.59263169	14247.61470696
0.57274959	14139.00705970
0.59349066	14571.84940723
0.58490077	14604.31817737
0.58089593	12240.82290894
0.57951724	13006.75811578
0.57201109	14496.64731170
0.57708236	15636.15536230
0.59078527	15228.55312050
0.58412888	13492.58106744
0.58411873	14408.18728692
0.58067072	14757.17020024
0.57707900	14051.59107532
0.57843775	15220.62135497
0.59675990	12314.05857381
0.59621370	12197.26694914
0.58584163	16656.09324479
0.57537526	15287.47561636
0.58449433	14100.31690788
0.58558697	14551.00406083
0.57964141	14538.78724384
0.55906149	15493.77880470
0.58780355	13534.99575831
0.57248181	14109.68237535
0.59471171	15053.40684907
0.57884294	15165.71606239
0.56481108	14257.76387123
0.57543475	16322.76095513
0.57969992	16424.66734692
0.57261688	13950.45344745
0.58217242	15039.39026945
0.59385117	12171.43787338
0.58385143	13269.98724687
0.59130997	14655.74851481
0.58662459	14687.53434711
0.57740857	15882.71920624
0.57473053	15819.22780530
0.57866976	13993.03253785
0.58072272	14923.49366242
0.58413569	17124.53239797
0.59381007	14257.64355269
0.58537235	16250.89927303
0.57241843	14572.31285337
0.59474540	12708.99908919
0.57558854	14638.92183429
0.58145958	14621.75478261
0.58066271	15289.32517943
0.57857876	13658.88899812
0.57308267	14855.83588615
0.56899139	12987.47911792
0.59803404	15560.49945316
0.59786110	14511.73324474
0.57426816	14954.42165969
0.57843952	15652.04241070
0.57811451	15022.09219634
0.57579931	15812.97167001
0.58128015	13187.27796265
0.57511252	14093.90088896
0.57360681	13787.64563176
0.58408487	13543.66755118
0.56178257	13082.47104861
0.58161002	14354.40039615
0.59199476	15307.68338180
0.56634603	14905.81373343
0.56297211	15997.24805158
0.57028127	14796.79051959
0.57229480	14710.67421636
0.57864976	16176.63241928
0.59016496	14363.84409894
0.58737864	15732.26812962
0.57676965	13885.97333315
0.59532325	15137.51354829
0.57828500	14707.47477145
0.58507938	14555.59460222
0.56038403	16321.52943763
0.58535144	13735.55029420
0.59200987	14783.17140924
0.58232140	16035.11109470
0.57829848	13781.99010777
0.56766916	15170.08065943
0.57761247	13434.80768285
0.57835515	14690.83482182
0.58448081	14884.24889633
0.57824223	17115.95036134
0.57779426	14941.88751224
0.57393187	14433.18417242
0.58000140	13512.16795577
0.59303990	16653.88116386
0.57544275	14748.16209106
0.58673384	15506.64701114
0.57847073	15143.79031571
0.58568216	15118.32516876
0.59605615	14825.78110316
0.56569272	17443.11678684
0.59651767	13050.60330726
0.56821200	13685.84424277
0.58137282	12881.13757206
0.58124612	16167.96752382
0.58434529	15222.87072271
0.58058643	15331.64772418
0.59450145	15039.75373464
0.59742796	14891.63579055
0.57024948	13594.21020456
0.56013711	14655.22680200
0.58667492	12920.60344326
0.58581069	15969.74567479
0.59232248	14959.06271623
0.57433372	14507.30357752
0.58678737	13978.89696949
0.58381674	14528.39918493
0.56521781	14018.69894197
0.56075960	16373.29882459
0.59086444	14034.15864753
0.58256303	16766.55577646
0.57969222	14643.72360383
0.57855106	12979.30798602
0.57984372	13571.12095191
0.58102641	12580.19716311
0.57591893	14869.66995395
0.57777056	14431.29968512
0.59188261	15004.09323041
0.57179136	14848.38012284
0.57839695	13978.35305212
0.57102037	15882.85839600
0.57716172	14238.16769275
0.57775927	15340.59811530
0.57519056	14551.68617928
0.58806336	14812.95901287
0.58434336	15133.26401603
0.57588749	16097.34276418
0.59550249	13696.28906590
0.58154178	15625.44614047
0.57993348	16522.73621060
0.58393233	12763.74420014
0.57083038	15068.97784758
0.59956989	14998.86942181
0.58284742	14637.63001445
0.57916129	15011.97334181
0.59173496	14226.19802978
0.56540783	14630.40727437
0.58800770	14744.37676071
0.57684107	14816.78528682
0.59187833	14831.47570531
0.57502944	15953.27941925
0.59264694	13729.37314357
0.58068287	13503.11949042
0.59147204	15249.91639071
0.59490036	14758.83721778
0.57964943	15144.39923391
0.56493358	15111.27267754
0.58932888	14242.46666069
0.59010605	13501.07642424
0.57444768	14850.78850265
0.58537146	15434.35621543
0.57646868	15497.66449155
0.58024563	14959.65356511
0.57608895	14536.40093195
